split,k_rrf,w_bm25,w_dense,KB,KD,CAP,CAP_eff,K_MAX_EVAL,K_MAX_EVAL_eff,P,ShortfallRate@400,MeanKeff@400,MeanR@400,MAP@10,MRR@10,GMAP@10,Success@10,MeanR@10,MeanR@50,MeanR@100,MeanR@200,MeanR@300
orange_qa_MCQ-con_test_bioasq,60,1.0,1.0,400,400,400,400,400,400,0.95,0.0,400.0,0.0,0.0,0.0,9.999999999999997e-06,0.0,0.0,0.0,0.0,0.0,0.0
orange_qa_MCQ_test_bioasq,60,1.0,1.0,400,400,400,400,400,400,0.95,0.0,400.0,0.9978787878787878,0.8710063019652305,0.9465416666666667,0.8150552714551892,1.0,0.9568560606060607,0.9861363636363636,0.9894696969696969,0.9932575757575757,0.9974242424242425
