method,batch,n_queries,MAP@10,GMAP@10,MRR@10,Success@10,MeanR@10,MeanR@50,MeanR@100,MeanR@200,MeanR@300,MeanR@400,MeanR@500,MeanR@1000,MeanR@2000,MeanR@5000
Dense,orange_qa_MCQ_test_bioasq,200,0.8752672949735449,0.8153412979917918,0.9519722222222222,1.0,0.943242784992785,0.9786439393939393,0.992348484848485,0.9965909090909091,0.9974242424242425,0.9987121212121213,0.9987121212121213,0.9987121212121213,0.9987121212121213,0.9987121212121213
Dense,orange_qa_MCQ-con_test_bioasq,200,0.0,9.999999999999997e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
