split,MAP@10,GMAP@10,MRR@10,Success@10,MeanR@10,MeanR@50,MeanR@100,MeanR@200,MeanR@300,MeanR@400,MeanR@500,MeanR@1000,MeanR@2000,MeanR@5000
orange_qa_MCQ-con_test_bioasq,0.0,9.99999999999998e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orange_qa_MCQ_test_bioasq,0.8443522911942555,0.7652273536678061,0.9741666666666666,0.995,0.9208282828282829,0.980911976911977,0.9861363636363636,0.9861363636363636,0.9861363636363636,0.9861363636363636,0.9861363636363636,0.9861363636363636,0.9861363636363636,0.9861363636363636
