method,batch,n_queries,MAP@10,GMAP@10,MRR@10,Success@10,MeanR@10,MeanR@50,MeanR@100,MeanR@200,MeanR@300,MeanR@400,MeanR@500,MeanR@1000,MeanR@2000,MeanR@5000
BM25,orange_qa_MCQ_test_bioasq,200,0.7965966033635676,0.5063638042597788,0.9147916666666667,0.965,0.8821717171717173,0.972209595959596,0.9827651515151515,0.9915151515151516,0.9931818181818182,0.9931818181818182,0.9931818181818182,0.9931818181818182,0.9931818181818182,0.9931818181818182
BM25,orange_qa_MCQ-con_test_bioasq,200,0.0,9.999999999999997e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
